productId,brand,shopDomain,productName,productType,price,compareAtPrice,formFactor,mushroomTypes,variantCount,tags,url
ryzesuperfoods.com_7031814979689,Ryze,ryzesuperfoods.com,Mushroom Chicory Add-On (SPECIAL PRICING),,36.0,40.0,Other,Other,1,"Add On, Chicory, hide-from-google, sub",https://ryzesuperfoods.com/products/mushroom-chicory-add-on-special-pricing
ryzesuperfoods.com_7031286857833,Ryze,ryzesuperfoods.com,Mushroom Chicory (Add-on),,36.0,40.0,Other,Other,1,"Add On, Chicory, hide-from-google, sub",https://ryzesuperfoods.com/products/mushroom-chicory-add-on
ryzesuperfoods.com_7029972303977,Ryze,ryzesuperfoods.com,Probiotic Creamer: 30 Servings,,30.0,30.0,Other,Other,1,"Creamer, hide-from-google, kit, OTP",https://ryzesuperfoods.com/products/mushroom-coconut-creamer-30-servings
ryzesuperfoods.com_7029957787753,Ryze,ryzesuperfoods.com,Mushroom Chicory Starter Kit (60 servings),,80.0,80.0,Other,Other,1,"Chickory Gift, Chicory, custom-recurring-66, Discount, export, hide-from-google, kit, main, portal:filter:chicory, Recharge Extra Product, ritual kit, show_in_search, Starter kit, sub, Two Bags",https://ryzesuperfoods.com/products/mushroom-chicory-starter-kit-60-servings
ryzesuperfoods.com_7029522890857,Ryze,ryzesuperfoods.com,Try our Mushroom Matcha for 50% OFF!,,40.0,35.0,Powder,Other,1,"hide-from-google, Matcha",https://ryzesuperfoods.com/products/mushroommatcha
ryzesuperfoods.com_6994585387113,Ryze,ryzesuperfoods.com,Mushroom Chicory (30 Servings),,45.0,45.0,Other,Other,1,"Chicory, custom-recurring-36, Discount, export, main, OTP, portal:filter:chicory, Recharge Extra Product, show_in_search, single, sub",https://ryzesuperfoods.com/products/ryze-mushroom-chicory-30-servings
ryzesuperfoods.com_6985469067369,Ryze,ryzesuperfoods.com,Mushroom Matcha (60 Servings),,108.0,,Powder,Other,1,"Discount, hide-from-google, kit, Matcha, sub, Two Bags",https://ryzesuperfoods.com/products/mushroom-matcha-60-servings
ryzesuperfoods.com_6961930207337,Ryze,ryzesuperfoods.com,Mushroom Matcha Add-on (SPECIAL PRICING),,40.0,,Powder,Other,1,"Add On, hide-from-google, Matcha, sub",https://ryzesuperfoods.com/products/mushroom-matcha-add-on-special-pricing
ryzesuperfoods.com_6961197121641,Ryze,ryzesuperfoods.com,Mushroom Matcha (Add-on),,40.0,,Powder,Other,1,"Add On, hide-from-google, Matcha, sub",https://ryzesuperfoods.com/products/mushroom-matcha-add-on
ryzesuperfoods.com_6917229641833,Ryze,ryzesuperfoods.com,RYZE Mushroom Matcha (30 Servings),,60.0,,Powder,Other,1,"Discount, hide-from-google, Matcha, single, sub",https://ryzesuperfoods.com/products/ryze-mushroom-matcha-30-servings
ryzesuperfoods.com_6866719375465,Ryze,ryzesuperfoods.com,Mushroom Coffee (90 Servings),,115.0,,Coffee,Other,1,"Coffee, Coffee Gift, custom-recurring-115, Discount, export, hide-from-google, kit, main, Medium Roast, OG2, portal:filter:coffee, Recharge Extra Product, show_in_search, sub, Three Bags",https://ryzesuperfoods.com/products/mushroom-coffee-90-servings
ryzesuperfoods.com_6842474725481,Ryze,ryzesuperfoods.com,Probiotic Creamer (SPECIAL PRICING),,30.0,35.0,Other,Other,1,"Creamer, hide-from-google, single",https://ryzesuperfoods.com/products/mushroom-coconut-creamer-special-pricing
ryzesuperfoods.com_6841995559017,Ryze,ryzesuperfoods.com,RYZE Gift Set,,60.0,,Other,Other,1,"Creamer, Creamer Gift, Discount, export, kit, main, show_in_search, sub, Two Bags",https://ryzesuperfoods.com/products/ryze-gift-set
ryzesuperfoods.com_6762966057065,Ryze,ryzesuperfoods.com,Probiotic Creamer (90 Servings),,81.0,90.0,Other,Other,1,"Creamer, hide-from-google, single, sub",https://ryzesuperfoods.com/products/mushroom-coconut-creamer-3-pack
ryzesuperfoods.com_6759022624873,Ryze,ryzesuperfoods.com,RYZE Bundle (2 Coffee + 1 Creamer),,76.0,80.0,Coffee,Other,1,"Coffee, Creamer, Discount, hide-from-google, kit, OG2, Recharge Extra Product, sub, Three Bags",https://ryzesuperfoods.com/products/ryze-bundle-2-coffee-1-creamer
ryzesuperfoods.com_6759015579753,Ryze,ryzesuperfoods.com,RYZE Bundle (2 Coffee + 2 Creamer),,94.5,105.0,Coffee,Other,1,"Coffee, Creamer, Discount, hide-from-google, kit, OG2, Recharge Extra Product, sub, Three Bags",https://ryzesuperfoods.com/products/ryze-bundle-2-coffee-2-creamer
ryzesuperfoods.com_6758956957801,Ryze,ryzesuperfoods.com,RYZE Lovers Gift Set (2 Coffees + 2 Creamers),,105.0,105.0,Coffee,Other,1,"Coffee, Creamer, Creamer Gift, custom-recurring-94.50, Discount, export, hide-from-google, kit, main, Medium Roast, OG2, show_in_search, sub, Three Bags",https://ryzesuperfoods.com/products/ryze-power-bundle-2-coffee-2-creamer
ryzesuperfoods.com_6758982844521,Ryze,ryzesuperfoods.com,RYZE Starter Gift Set (2 Coffees + 1 Creamer),,80.0,110.0,Coffee,Other,1,"Coffee, Creamer, Creamer Gift, custom-recurring-80, Discount, export, hide-from-google, kit, main, Medium Roast, OG2, portal:filter:coffee, portal:filter:creamer, Recharge Extra Product, show_in_searc",https://ryzesuperfoods.com/products/ryze-gift-bundle-2-coffee-1-creamer
ryzesuperfoods.com_6746701889641,Ryze,ryzesuperfoods.com,Try our Probiotic Creamer for 50% OFF!,,30.0,35.0,Other,Other,1,"Creamer, hide-from-google",https://ryzesuperfoods.com/products/ryze-superfood-creamer-add-on
ryzesuperfoods.com_6744287019113,Ryze,ryzesuperfoods.com,RYZE Bundle (Add-on),,60.0,75.0,Other,Other,1,"hide-from-google, kit, No rebill, sub, Three Bags",https://ryzesuperfoods.com/products/ryze-bundle-add-on
ryzesuperfoods.com_6731774525545,Ryze,ryzesuperfoods.com,Probiotic Creamer (30 Servings),,30.0,30.0,Other,Other,1,"Creamer, hide-from-google, single, sub",https://ryzesuperfoods.com/products/superfood-creamer
ryzesuperfoods.com_6684860317801,Ryze,ryzesuperfoods.com,Mushroom Coffee (Add-on),,36.0,40.0,Coffee,Other,1,"Add On, Coffee, hide-from-google, OG2, single",https://ryzesuperfoods.com/products/ryze-mushroom-coffee
everydaydose.com_7869653319745,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Starter Kit,C+ 30 Serving Starter Kit,45.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/29
everydaydose.com_7859521716289,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Starter Kit (adderall),C+ 30 Serving Starter Kit,45.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/mushroom-coffee-adhd
everydaydose.com_7846701629505,Everyday Dose,everydaydose.com,[EVENTS 10-Pack Matcha,Matcha 10 Pack,0.0,20.0,Powder,Other,1,YGroup_TheDoseKit,https://everydaydose.com/products/events-10-pack-matcha
everydaydose.com_7837117284417,Everyday Dose,everydaydose.com,90 Servings of Coffee + FREE Starter Kit (Quarterly),C+ 30 Serving Starter Kit,135.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/quarterly
everydaydose.com_7802077675585,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Starter Kit (1cup2cup),C+ 30 Serving Starter Kit,45.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/123cup
everydaydose.com_7794229182529,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Starter Kit (Cortisol),C+ 30 Serving Starter Kit,45.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/cortisol
everydaydose.com_7779735568449,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Productivity Planner,C+ 30 Serving Starter Kit,57.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/30-servings-of-coffee-free-productivity-planner-1
everydaydose.com_7779738320961,Everyday Dose,everydaydose.com,30 Servings of Medium Roast Coffee + FREE Productivity Planner,C+ 30 Serving Starter Kit,57.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/30-servings-of-medium-roast-coffee-free-productivity-planner
everydaydose.com_7776305872961,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Starter Kit + 5 Free To-Go Packs,C+ 30 Serving Starter Kit,65.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/gut-health
everydaydose.com_7286823944257,Everyday Dose,everydaydose.com,30-Servings of Mushroom Matcha +,Matcha 30 Serving Bag,36.0,50.0,Powder,Other,1,YGroup_TheDoseKit,https://everydaydose.com/products/30-serving-of-mushroom-matcha
everydaydose.com_7755412373569,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Starter Kit,C+ 30 Serving Starter Kit,45.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/influencer
everydaydose.com_7751585628225,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Starter Kit + A2 Probiotic Creamer+,C+ 30 Serving Starter Kit,65.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/focus-starter-kit
everydaydose.com_7750605537345,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Starter Kit + A2 Probiotic Creamer+,C+ 30 Serving Starter Kit,65.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/new-year
everydaydose.com_7724127813697,Everyday Dose,everydaydose.com,30 Servings of Coffee+ Medium Roast + FREE Starter Kit + FREE Peppermint Mocha Creamer+,C+ 30 Serving Starter Kit,65.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/medium-free-peppermint-mocha
everydaydose.com_7724001460289,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Starter Kit + FREE Peppermint Mocha Creamer+,C+ 30 Serving Starter Kit,65.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/free-peppermint-mocha
everydaydose.com_7713241038913,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Starter Kit + A2 Probiotic Creamer+,C+ 30 Serving Starter Kit,169.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/30-servings-of-coffee-bfcm-deal
everydaydose.com_7693131939905,Everyday Dose,everydaydose.com,30 Servings of Coffee+ Medium Roast + FREE Starter Kit + FREE A2 Probiotic Creamer,C+ 30 Serving Starter Kit,65.0,,Coffee,Other,1,"medium roast, YGroup_TheDoseKit",https://everydaydose.com/products/30-servings-of-coffee-medium-roast-free-starter-kit-free-a2-probiotic-creamer
everydaydose.com_7680294584385,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Starter Kit + A2 Probiotic Creamer + Productivity Planner,C+ 30 Serving Starter Kit,65.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/30-servings-of-coffee-creamer-planner
everydaydose.com_7672718098497,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Starter Kit + Productivity Planner,C+ 30 Serving Starter Kit,65.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/30-servings-of-coffee-free-starter-kit-productivity-planner
everydaydose.com_7661502758977,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Starter Kit + A2 Probiotic Creamer+,C+ 30 Serving Starter Kit,65.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/30-servings-of-coffee-free-dairy-creamer
everydaydose.com_7656027914305,Everyday Dose,everydaydose.com,Mild + Medium Stick Sample Pack,,5.0,,Other,Other,1,Charge Shipping,https://everydaydose.com/products/mild-medium-stick-sample-pack-1
everydaydose.com_7648587022401,Everyday Dose,everydaydose.com,Mild + Medium Stick Sample Pack,,5.0,,Other,Other,1,,https://everydaydose.com/products/mild-medium-stick-sample-pack
everydaydose.com_6980587323457,Everyday Dose,everydaydose.com,60 Servings of Mushroom Matcha+ FREE Starter Kit,Match 60 Serving Starter Kit,100.0,100.0,Powder,Other,1,"matcha, YGroup_TheDoseKit",https://everydaydose.com/products/copy-of-starter-kit-60-servings-1
everydaydose.com_7642267156545,Everyday Dose,everydaydose.com,60 Servings of Coffee + FREE Starter Kit,C+ 60 Serving Starter Kit,92.0,,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/60-servings-of-coffee-free-starter-kit-b
everydaydose.com_7641627295809,Everyday Dose,everydaydose.com,The Everyday Dose Experience,C+ 30 Serving Starter Kit,112.0,,Other,Other,1,"Handsfree, YGroup_TheDoseKit",https://everydaydose.com/products/the-everyday-dose-experience
everydaydose.com_7633776377921,Everyday Dose,everydaydose.com,30 Servings of Coffee + Mushy Plushy + Spoon,C+ 30 Serving Starter Kit,36.0,,Coffee,Other,1,"Handsfree, YGroup_TheDoseKit",https://everydaydose.com/products/30-servings-of-coffee-mushy-plushy
everydaydose.com_7326923063361,Everyday Dose,everydaydose.com,30 Servings Mushroom Coffee + FREE Starter Kit + FREE Creamer,C+ 30 Serving Starter Kit,65.0,,Coffee,Other,1,YGroup_TheDoseKit,https://everydaydose.com/products/30-servings-mushroom-coffee-creamer-starter-kit
everydaydose.com_7591668121665,Everyday Dose,everydaydose.com,[DOSE REWARDS] Mushroom Glass,,15.5,0.0,Other,Other,1,,https://everydaydose.com/products/mushroom-glass-copy
everydaydose.com_7562826481729,Everyday Dose,everydaydose.com,60 Servings Coffee+,C+ 30 Serving Bag,90.0,90.0,Coffee,"Lion's Mane, Chaga",1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/60-serving-coffee
