asin,brand,dateFirstAvailable,parentASIN
B01AN5QYQK,Hawaii Pharm,,
B01AN601VI,Hawaii Pharm,,B01AN600YG
B01AN603W0,Hawaii Pharm,,
B01BEV22TA,,,
B01BH281W8,Real Mushrooms,"February 4, 2016",B01BH281W8
B01BK80ZCI,Hawaii Pharm,,
B01BK81QKS,Hawaii Pharm,,
B01BK84MF4,Hawaii Pharm,,B01BK84LUU
B01BK84N4Y,Hawaii Pharm,,
B01BK84OH0,Hawaii Pharm,,B01BK84LUU
B01BK84RIG,Hawaii Pharm,,
B01BK84S8U,Hawaii Pharm,,
B01BK871DE,Naturealm,"April 7, 2016",B0GS72G6DG
B01BKRUWS6,Hawaii Pharm,,
B01BKRV596,Hawaii Pharm,,B01BKRV596
B01CM4JEKI,Laird Superfood,,
B01DKZZFCE,Real Mushrooms,,
B01DPWOS1G,Mushroom Matrix,"November 4, 2014",B0BPDKRM2P
B01DUYA4L2,2funguys,,B01DUYA4L2
B01E44PP5C,Fruiting Bodies,,
B01EKL0NVA,Mushroom Mojo,,B01EKL0NVA
B01EU2T270,2funguys,,B01EU2T270
B01F0IB6TU,Activa Naturals,,B01F0IB6TU
B01FY9RNRE,Shiitake,,
B01HFN5K2W,Nootropics Depot,,
B01I05DSFA,2funguys,,B01I05DSFA
B01ITU49L8,Piping Rock,,
B01JH0I2HQ,Swanson,,
B01JNNAQVW,Micro Ingredients,"August 2, 2016",B01JNNAQVW
B01K31RYCW,UMI NO SHIZUKU,"August 10, 2016",B01K31RYCW
B01K39W4LU,UMI NO SHIZUKU,"August 10, 2016",B01K39W4LU
B01K3ZU0XS,Culbeans,,B01K3ZU0XS
B01K4JBOUQ,Om Mushroom Superfood,,
B01K4JBQ6S,OM MUSHROOM SUPERFOOD,,B0CKKXV97L
B01KGEUB9E,Tiger Milk,,
B01LW4ZVYN,3dRose,,
B01LXGHDPJ,1/8 Sheet - Morel,,
B01LXL22HV,BulkSupplements,,
B01LYPFAFC,Wild Foods,,
B01LZYSACU,Host Defense,,
B01M8LJJPH,Longevity Botanicals,,B0CZP7QTZS
B01MG4AW6V,Four Sigmatic,,
B01MTO2DMK,BulkSupplements,,
B01MUG4DVQ,Terrasoul Superfoods,,
B01N0EB4IT,NaturVet,,
B01N1FV2RR,Real Mushrooms,,B0C4XSMX2G
B01N1FVIEW,BulkSupplements,,
B01N2N0ZWV,Laird Superfood,,B0F8PFT135
B01N8TJJQL,Moon Juice,,
B01N90H5XR,BulkSupplements,,
B01N94G7O1,BulkSupplements,,
B01NA0FHFS,Ganoderma,,
B01NCIFKQ9,Sayan,,
B06W5HT62H,Four Sigmatic,,
B06X9N6T3R,Culbeans,,B06X9N6T3R
B06XCHS1W7,Four Sigmatic,,
B06XD49D7T,Four Sigmatic,,
B06XFPBZBH,DailyNutra,,
B06XPBLHZK,SOLARAY,,
B06XPCXSK4,SOLARAY,,
B06XPJ6BV3,Host Defense,,
B06XT5DSHX,GANOHERB,"March 24, 2017",B06XT5DSHX
B06Y28J9RR,2funguys,,B06Y28J9RR
B06Y2T3D11,Secrets Of The Tribe,,
B0716DMSSK,Spawn and Wax Combo - Oyster,,
B071HR2SV1,Host Defense,,
B071SLNDSM,Natures Elements,,B0G26JD7XV
B072L5V3ZC,Spawn and 3oz Wax Combo Oyster,,
B07345XGQQ,Terrasoul Superfoods,,B07345XGQQ
B073DQ5JBP,Anima Mundi Apothecary,,
B073DZ1SF8,FreshCap Mushrooms,"August 2, 2017",B0GS21TVSK
B073VZL3YN,Maju Superfoods,,B0FD93K9S1
B0741RRWWS,Real Mushrooms,"July 18, 2017",B0GHPZRV8Z
B0746Q8PRH,Standard Process,,
B074H7L83M,365 Whole Foods Market,,B074H7L83M
B0756D1D39,Four Sigmatic,,
B075NVDRLY,The Wild Mushroom Co,,B09M6C4KRC
B0764KP7HD,Wild Foods,,B0D8LZP4GC
B076ML1C9H,Sayan,,
B076VVJR6F,Nature Re,,B076VVJR6F
B07718L9XP,Ambesonne,,
B07719XK9J,Ambesonne,,
B0771BXNHN,Ambesonne,,
B0778TWC6P,Nootropics Depot,,
B077J1HLQH,Swanson,,
B077J2P7HL,Swanson,,
B077ZXDR66,MYCOPIA,,B077ZXDR66
B07815GMMS,Fresh Produce,,B07815GMMS
B078HKJH6B,Shiitake,,
B078KPWP8N,Bronson,"December 22, 2017",B078KPWP8N
B078KYGDRP,Holistic Bin,,B078KYGDRP
B078SJ9F5S,The Genius Brand,"January 3, 2018",B0G2DWXPGP
B078SZX3ML,Real Mushrooms,"January 4, 2018",B0GRW5PCT1
B078T4JSD5,Real Mushrooms,,
B078X18XPR,NusaPure,,B078X18XPR
B078XR2R6B,La Republica,,
B0793FB3LQ,Real Mushrooms,,B0GGH81H2L
B079FCR7XK,VIGOROUS MOUNTAINS,,B0GCZMF26M
B079FMNNQD,Rasa,,
B07B9WXTDV,Host Defense,,
B07BD3DHZG,Fresh Nutrition,,B07BD3DHZG
B07BHTP8VX,BulkSupplements,,
B07BHV357H,BulkSupplements,,
B07BHVHJBC,BulkSupplements,,
B07BJ18K5P,SOLARAY,"October 17, 2017",B0FC6KWN4M
B07BL4QYLF,BulkSupplements,,
B07BL4T8HT,BulkSupplements,,
B07BL57M1Z,BulkSupplements,,
B07BN5N9FM,Pet Wellbeing,"August 23, 2018",B07BN5N9FM
B07BNVWFKZ,Noomadic,,B07BNVWFKZ
B07BSZBN3D,Posterazzi,,B07BSZBN3D
B07BTB8K8Y,Edible,,
B07BVBWSB4,Edible American,,
B07BVDKNY7,Edible American,,
B07C2QPJSQ,Morel,,
B07C9TWH6B,MW Polar,,B0D8C82LM5
B07C9YLPJ9,Fungi Edible American,,
B07CB5VHMV,Nourishing Nutrients,,B0927JNCVF
B07CF55GLC,Four Sigmatic,,B07T5PX94M
B07CMFCV3G,Parker Naturals,,
B07D32VNLP,Real Mushrooms,"May 15, 2018",B0GHPFCGRB
B07D338M35,Real Mushrooms,"May 15, 2018",B07D338M35
B07D3G3ZFX,Real Mushrooms,,B0GGGW5YR4
B07D3H6H6Y,Real Mushrooms,"May 15, 2018",B0GHPSTLS4
B07D3X7MQM,UNBEETABREW Organic Beetroot &,,
B07D6KBV65,BONCHOWI,,B07D6KBV65
B07DCGDCKM,Jetsu,,B07DCGDCKM
B07DGL8DY9,Sun Potion,,
B07DN59XZM,FreshCap Mushrooms,,
B07DPBVJJX,Posterazzi,,B07DPBVJJX
B07DPL5WZV,Posterazzi,,B07DPL5WZV
B07DPM5SLC,Posterazzi,,B07DPM5SLC
B07DPMC5BP,Posterazzi,,B07DPMC5BP
B07DTCWZFG,Wild Foods,,
B07F8ZGTCJ,Swanson,,
B07FB1DHHP,California Gold Nutrition,,
B07FCT349J,Pure Essence,,
B07FDLYV5Z,Root Mushroom Farm,"July 9, 2018",B07FDN9TLD
B07FK3CQJR,Laird Superfood,"June 13, 2016",B0FB5S8K6L
B07FKTTJP7,Pure Essence,,
B07FNXC1JN,Vita Green,,
B07FTTPJPG,Phillips Mushroom Farms,,
B07FZG27JF,Fresh Produce,,B07FZG27JF
B07GDVK5HX,BulkSupplements,,
B07GHZNZG2,FLORIDA HERBS,"August 15, 2018",B0FRLZB1MW
B07GNQLP2R,Sayan,,
B07GNRB5QP,Sayan,,
B07GT8BN62,UMI NO SHIZUKU,"November 12, 2018",B07GT8BN62
B07GVSC9MX,Anima Mundi Apothecary,,
B07H2T35VN,California Gold Nutrition,,
B07H9KSYXP,Forest Organics Ghost,,
B07HB6PQMD,Hippie Farms,,B07HB6PQMD
B07HDWF4S7,Vintage Botanical Prints | Edible,,
B07HFSVWTM,"Mushroom and Coffee, LLC",,B07HFSVWTM
B07HFTJ9L8,KS Mushroom,"September 18, 2018",B0BLWDQBSM
B07HJBWDDL,Sayan,,B07HJBWDDL
